filename,true_labels,predicted_label,max_confidence,score_bird,score_rain,score_frog,score_Construction Site
1001_20260613_T062500.wav,rain,Construction Site,0.07029428,-0.06807399,-0.006181568,0.044334035,0.07029428
1001_20260613_T063000.wav,rain,Construction Site,0.06982646,-0.070993274,-0.0074969716,0.042521644,0.06982646
1001_20260613_T063500.wav,rain,Construction Site,0.08255714,-0.058884367,0.0052529722,0.05019968,0.08255714
1001_20260613_T064000.wav,rain,Construction Site,0.065737896,-0.07306825,-0.01410488,0.045588516,0.065737896
1001_20260614_T030513.wav,"frog, Construction Site",Construction Site,0.12874806,-0.055018395,-0.21105742,0.09997101,0.12874806
1001_20260614_T031013.wav,"frog, Construction Site",Construction Site,0.07675263,-0.08465844,-0.2260364,0.07634695,0.07675263
1001_20260614_T031513.wav,"frog, Construction Site",frog,0.23281664,0.0068319,-0.13243324,0.23281664,0.16841683
1001_20260614_T032013.wav,"frog, Construction Site",frog,0.17263795,-0.039937347,-0.15118946,0.17263795,0.12646937
1001_20260614_T032513.wav,"frog, Construction Site",frog,0.1463786,-0.09199226,-0.16032833,0.1463786,0.10678823
1001_20260614_T033013.wav,"bird, frog, Construction Site",frog,0.18216996,-0.03816013,-0.1740874,0.18216996,0.14797103
1001_20260614_T034013.wav,"bird, frog, Construction Site",frog,0.14465566,-0.09127407,-0.22041099,0.14465566,0.110608295
1001_20260614_T035513.wav,"frog, Construction Site",frog,0.18634908,-0.02438256,-0.16423301,0.18634908,0.10109861
1001_20260614_T040013.wav,"bird, frog, Construction Site",frog,0.1833501,-0.059690833,-0.18987712,0.1833501,0.11243806
1001_20260614_T040513.wav,frog,frog,0.14990196,-0.025869457,-0.2116502,0.14990196,0.10256091
1001_20260614_T041013.wav,frog,frog,0.198583,-0.017411448,-0.17764689,0.198583,0.105241075
1001_20260614_T041513.wav,"bird, frog, Construction Site",frog,0.21287552,-0.020888766,-0.1729354,0.21287552,0.08101466
1001_20260614_T042013.wav,"bird, frog, Construction Site",frog,0.14037716,-0.04721758,-0.21270417,0.14037716,0.06504913
1001_20260614_T042513.wav,"bird, frog, Construction Site",frog,0.14645842,-0.026807476,-0.22222346,0.14645842,0.08968249
1001_20260614_T043013.wav,"bird, frog, Construction Site",frog,0.14155626,-0.08126047,-0.20323525,0.14155626,0.10979819
1001_20260615_T025000.wav,"bird, frog, Construction Site",Construction Site,0.13160923,-0.09440479,-0.19369778,0.13003029,0.13160923
1001_20260615_T030000.wav,"bird, frog, Construction Site",Construction Site,0.09042365,-0.12013836,-0.25243008,0.04886155,0.09042365
1001_20260615_T030500.wav,"bird, frog, Construction Site",frog,0.10254058,-0.09336878,-0.23484764,0.10254058,0.06821664
1001_20260615_T031000.wav,"bird, frog, Construction Site",Construction Site,0.1196401,-0.11870169,-0.17071754,0.08500885,0.1196401
1001_20260615_T033500.wav,"bird, frog, Construction Site",frog,0.15269181,-0.08797852,-0.17186368,0.15269181,0.11871274
1001_20260615_T040000.wav,"bird, frog",frog,0.2653073,-0.0063019926,-0.12453653,0.2653073,0.18595907
1001_20260615_T040500.wav,frog,frog,0.22166383,-0.07976144,-0.08187249,0.22166383,0.07646211
1001_20260615_T041500.wav,"bird, frog",frog,0.1310177,-0.064140566,-0.1691038,0.1310177,0.11962819
1001_20260615_T042000.wav,"bird, frog, Construction Site",frog,0.11379257,-0.12519318,-0.17493948,0.11379257,0.069400735
